ensembl_gene_id	n_pubmed_ids
ENSG00000059804	97
ENSG00000059915	29
ENSG00000060069	58
ENSG00000060138	79
ENSG00000060140	32
ENSG00000060237	139
ENSG00000060339	59
ENSG00000060491	34
ENSG00000060558	47
ENSG00000060566	23
ENSG00000060642	17
ENSG00000060656	35
ENSG00000060688	46
ENSG00000060709	12
ENSG00000060718	89
ENSG00000060749	12
ENSG00000060762	17
ENSG00000060971	44
ENSG00000060982	47
ENSG00000061273	107
ENSG00000061337	31
ENSG00000061455	10
ENSG00000061492	12
ENSG00000061656	11
ENSG00000061676	53
ENSG00000061794	33
ENSG00000061918	35
ENSG00000061936	20
ENSG00000061938	106
ENSG00000061987	26
ENSG00000062038	114
ENSG00000062096	13
ENSG00000062194	19
ENSG00000062282	37
ENSG00000062370	7
ENSG00000062485	58
ENSG00000062524	27
ENSG00000062582	24
ENSG00000062598	34
ENSG00000062650	54
ENSG00000062716	39
ENSG00000062725	30
ENSG00000062822	132
ENSG00000063015	9
ENSG00000063046	88
ENSG00000063127	5
ENSG00000063169	16
ENSG00000063176	65
ENSG00000063177	77
ENSG00000063180	16
ENSG00000063241	20
ENSG00000063244	147
ENSG00000063245	70
ENSG00000063322	25
ENSG00000063438	65
ENSG00000063515	7
ENSG00000063587	5
ENSG00000063601	22
ENSG00000063660	57
ENSG00000063761	14
ENSG00000063854	40
ENSG00000063978	85
ENSG00000064012	807
ENSG00000064042	33
ENSG00000064102	23
ENSG00000064115	13
ENSG00000064195	55
ENSG00000064199	36
ENSG00000064201	14
ENSG00000064205	48
ENSG00000064218	12
ENSG00000064225	24
ENSG00000064270	19
ENSG00000064300	302
ENSG00000064309	27
ENSG00000064313	58
ENSG00000064393	162
ENSG00000064419	112
ENSG00000064489	17
ENSG00000064490	27
ENSG00000064545	11
ENSG00000064547	65
ENSG00000064601	74
ENSG00000064607	33
ENSG00000064651	88
ENSG00000064652	17
ENSG00000064655	48
ENSG00000064666	34
ENSG00000064687	64
ENSG00000064692	90
ENSG00000064703	86
ENSG00000064726	32
ENSG00000064763	15
ENSG00000064787	15
ENSG00000064835	113
ENSG00000064886	22
ENSG00000064932	16
ENSG00000064933	58
ENSG00000064961	37
ENSG00000064989	90
ENSG00000064995	51
ENSG00000064999	47
ENSG00000065000	72
ENSG00000065029	19
ENSG00000065054	95
ENSG00000065057	60
ENSG00000065060	19
ENSG00000065135	129
ENSG00000065150	124
ENSG00000065154	61
ENSG00000065183	33
ENSG00000065243	77
ENSG00000065268	31
ENSG00000065308	22
ENSG00000065320	126
ENSG00000065325	28
ENSG00000065328	62
ENSG00000065357	49
ENSG00000065361	453
ENSG00000065371	15
ENSG00000065413	22
ENSG00000065427	119
ENSG00000065457	8
ENSG00000065485	33
ENSG00000065491	19
ENSG00000065518	21
ENSG00000065526	54
ENSG00000065534	128
ENSG00000065548	38
ENSG00000065559	179
ENSG00000065600	8
ENSG00000065609	42
ENSG00000065613	42
ENSG00000065615	17
ENSG00000065618	112
ENSG00000065621	74
ENSG00000065665	14
ENSG00000065675	215
ENSG00000065717	22
ENSG00000065802	18
ENSG00000065809	21
ENSG00000065833	43
ENSG00000065882	46
ENSG00000065883	51
ENSG00000065911	53
ENSG00000065923	16
ENSG00000065970	33
ENSG00000065978	376
ENSG00000065989	69
ENSG00000066027	81
ENSG00000066032	49
ENSG00000066044	421
ENSG00000066056	50
ENSG00000066084	22
ENSG00000066117	65
ENSG00000066135	83
ENSG00000066136	57
ENSG00000066185	6
ENSG00000066230	100
ENSG00000066248	26
ENSG00000066279	82
ENSG00000066294	33
ENSG00000066322	21
ENSG00000066336	210
ENSG00000066379	46
ENSG00000066382	22
ENSG00000066405	38
ENSG00000066422	12
ENSG00000066427	242
ENSG00000066455	32
ENSG00000066468	562
ENSG00000066557	18
ENSG00000066583	14
ENSG00000066629	22
ENSG00000066651	11
ENSG00000066654	16
ENSG00000066697	10
ENSG00000066735	8
ENSG00000066739	24
ENSG00000066777	48
ENSG00000066813	12
ENSG00000066827	30
ENSG00000066855	19
ENSG00000066923	14
ENSG00000066926	109
ENSG00000066933	30
ENSG00000067048	46
ENSG00000067057	93
ENSG00000067064	23
ENSG00000067066	90
ENSG00000067082	153
ENSG00000067113	37
ENSG00000067141	51
ENSG00000067167	29
ENSG00000067177	27
ENSG00000067182	680
ENSG00000067191	29
ENSG00000067208	36
ENSG00000067221	14
ENSG00000067225	393
ENSG00000067248	29
ENSG00000067334	25
ENSG00000067365	7
ENSG00000067369	272
ENSG00000067445	45
ENSG00000067533	23
ENSG00000067560	887
ENSG00000067596	39
ENSG00000067606	344
ENSG00000067646	21
ENSG00000067704	31
ENSG00000067715	97
ENSG00000067798	28
ENSG00000067829	26
ENSG00000067836	17
ENSG00000067840	12
ENSG00000067842	38
ENSG00000067900	391
ENSG00000067955	122
ENSG00000067992	31
ENSG00000068001	60
ENSG00000068024	260
ENSG00000068028	426
ENSG00000068078	479
ENSG00000068079	29
ENSG00000068097	9
ENSG00000068120	38
ENSG00000068137	7
ENSG00000068305	142
ENSG00000068308	26
ENSG00000068323	128
ENSG00000068354	17
ENSG00000068366	74
ENSG00000068383	19
ENSG00000068394	27
ENSG00000068400	29
ENSG00000068438	31
ENSG00000068489	22
ENSG00000068615	34
ENSG00000068650	20
ENSG00000068654	52
ENSG00000068697	20
ENSG00000068724	27
ENSG00000068745	35
ENSG00000068781	10
ENSG00000068784	24
ENSG00000068796	61
ENSG00000068831	24
ENSG00000068878	51
ENSG00000068885	17
ENSG00000068903	173
ENSG00000068912	36
ENSG00000068971	40
ENSG00000068976	78
ENSG00000068985	10
ENSG00000069011	73
ENSG00000069018	18
ENSG00000069020	11
ENSG00000069122	25
ENSG00000069188	14
ENSG00000069206	7
ENSG00000069248	69
ENSG00000069275	56
ENSG00000069329	139
ENSG00000069345	92
ENSG00000069399	110
ENSG00000069424	29
ENSG00000069431	69
ENSG00000069482	116
ENSG00000069493	25
ENSG00000069509	21
ENSG00000069535	170
ENSG00000069667	141
ENSG00000069696	658
ENSG00000069702	137
ENSG00000069764	50
ENSG00000069812	10
ENSG00000069849	36
ENSG00000069869	287
ENSG00000069943	15
ENSG00000069956	42
ENSG00000069966	44
ENSG00000069974	133
ENSG00000069998	13
ENSG00000070010	83
ENSG00000070018	202
ENSG00000070019	51
ENSG00000070031	35
ENSG00000070047	30
ENSG00000070061	88
ENSG00000070081	113
ENSG00000070087	50
ENSG00000070159	43
ENSG00000070182	99
ENSG00000070190	21
ENSG00000070193	103
ENSG00000070214	31
ENSG00000070269	7
ENSG00000070366	52
ENSG00000070367	36
ENSG00000070371	47
ENSG00000070388	13
ENSG00000070404	50
ENSG00000070413	24
ENSG00000070423	37
ENSG00000070444	33
ENSG00000070476	21
ENSG00000070495	57
ENSG00000070501	212
ENSG00000070526	20
ENSG00000070540	19
ENSG00000070601	15
ENSG00000070610	60
ENSG00000070614	31
ENSG00000070669	74
ENSG00000070718	14
ENSG00000070729	31
ENSG00000070731	20
ENSG00000070748	97
ENSG00000070756	242
ENSG00000070759	15
ENSG00000070761	20
ENSG00000070770	226
ENSG00000070778	19
ENSG00000070785	47
ENSG00000070808	172
ENSG00000070814	102
ENSG00000070831	589
ENSG00000070882	37
ENSG00000070886	34
ENSG00000070915	125
ENSG00000070950	120
ENSG00000070961	103
ENSG00000070985	23
ENSG00000071051	88
ENSG00000071054	68
ENSG00000071073	28
ENSG00000071082	70
ENSG00000071127	57
ENSG00000071189	16
ENSG00000071203	10
ENSG00000071205	21
ENSG00000071242	70
ENSG00000071243	38
ENSG00000071246	64
ENSG00000071282	22
ENSG00000071462	37
ENSG00000071537	83
ENSG00000071539	56
ENSG00000071553	48
ENSG00000071564	223
ENSG00000071575	65
ENSG00000071626	44
ENSG00000071655	87
ENSG00000071677	11
ENSG00000071794	78
ENSG00000071859	29
ENSG00000071889	24
ENSG00000071894	52
ENSG00000071909	16
ENSG00000071967	30
ENSG00000071991	15
ENSG00000071994	33
ENSG00000072041	24
ENSG00000072042	33
ENSG00000072062	586
ENSG00000072071	25
ENSG00000072080	17
ENSG00000072110	202
ENSG00000072121	26
ENSG00000072133	37
ENSG00000072134	30
ENSG00000072135	24
ENSG00000072163	23
ENSG00000072182	11
ENSG00000072195	26
ENSG00000072201	49
ENSG00000072210	66
ENSG00000072274	336
ENSG00000072310	338
ENSG00000072315	63
ENSG00000072364	59
ENSG00000072401	421
ENSG00000072415	55
ENSG00000072422	25
ENSG00000072501	168
ENSG00000072506	99
ENSG00000072518	102
ENSG00000072571	95
ENSG00000072609	94
ENSG00000072657	16
ENSG00000072682	38
ENSG00000072694	191
ENSG00000072736	73
ENSG00000072756	33
ENSG00000072778	67
ENSG00000072786	30
ENSG00000072803	112
ENSG00000072818	28
ENSG00000072832	52
ENSG00000072840	32
ENSG00000072849	40
ENSG00000072858	10
ENSG00000072864	61
ENSG00000072952	22
ENSG00000072954	11
ENSG00000072958	99
ENSG00000073008	99
ENSG00000073050	1136
ENSG00000073060	302
ENSG00000073067	29
ENSG00000073111	210
ENSG00000073146	14
ENSG00000073150	23
ENSG00000073169	13
ENSG00000073282	753
ENSG00000073331	29
ENSG00000073350	29
ENSG00000073417	29
ENSG00000073464	24
ENSG00000073536	21
ENSG00000073578	115
ENSG00000073584	104
ENSG00000073598	3
