orf_id_a	orf_id_b	result	experiment	source
2836	53949	0.0	testing_y2h_v3	test_space_y2h_v3
2837	3068		testing_y2h_v3	test_space_y2h_v3
2837	8459		testing_y2h_v3	test_space_y2h_v3
2852	7878		testing_y2h_v3	test_space_y2h_v3
2909	7511	0.0	testing_y2h_v3	RRS
2909	7511	0.0	testing_y2h_v1	RRS
2909	14862	0.0	testing_y2h_v1	test_space_y2h_v1
2909	100009545	0.0	testing_y2h_v3	test_space_y2h_v3
2917	3464		testing_y2h_v2	test_space_y2h_v2
2917	8349		testing_y2h_v3	test_space_y2h_v3
2917	10016		testing_y2h_v2	test_space_y2h_v2
2917	13662		testing_y2h_v1	test_space_y2h_v1
2917	70794		testing_y2h_v3	test_space_y2h_v3
2956	7723	0.0	testing_y2h_v3	RRS
2956	7723	0.0	testing_y2h_v1	RRS
2956	7723	0.0	testing_y2h_v2	RRS
2958	4933	0.0	testing_y2h_v3	RRS
2958	4933	0.0	testing_y2h_v1	RRS
2966	3638	0.0	testing_y2h_v3	RRS
2966	3638	0.0	testing_y2h_v1	RRS
2966	6306	0.0	testing_y2h_v1	test_space_y2h_v1
2966	7682	0.0	testing_y2h_v1	test_space_y2h_v1
2966	9637		testing_y2h_v1	test_space_y2h_v1
2966	10016		testing_y2h_v1	test_space_y2h_v1
2966	13067	0.0	testing_y2h_v1	test_space_y2h_v1
2966	14862	0.0	testing_y2h_v1	test_space_y2h_v1
2966	14983	0.0	testing_y2h_v1	test_space_y2h_v1
2966	100002625	0.0	testing_y2h_v1	test_space_y2h_v1
2989	6953	0.0	testing_y2h_v3	test_space_y2h_v3
3013	11362	0.0	testing_y2h_v3	test_space_y2h_v3
3038	13503	0.0	testing_y2h_v3	RRS
3038	13503	0.0	testing_y2h_v1	RRS
3038	53076		testing_y2h_v3	Lit_BM_13
3038	53076	0.0	testing_y2h_v1	Lit_BM_13
3038	53076	0.0	testing_y2h_v2	Lit_BM_13
3046	9068	0.0	testing_y2h_v3	RRS
3046	9068	0.0	testing_y2h_v1	RRS
3046	9068	0.0	testing_y2h_v2	RRS
3050	13662	0.0	testing_y2h_v1	test_space_y2h_v1
3065	56879	0.0	testing_y2h_v3	RRS
3065	56879	0.0	testing_y2h_v1	RRS
3065	56879	0.0	testing_y2h_v2	RRS
3071	13210	0.0	testing_y2h_v3	RRS
3071	13210	0.0	testing_y2h_v1	RRS
3071	13210	0.0	testing_y2h_v2	RRS
3071	13662	0.0	testing_y2h_v1	test_space_y2h_v1
3077	54180	0.0	testing_y2h_v3	Lit_BM_13
3077	54180	0.0	testing_y2h_v1	Lit_BM_13
3077	54180	0.0	testing_y2h_v2	Lit_BM_13
3095	5745	0.0	testing_y2h_v3	RRS
3095	5745	0.0	testing_y2h_v1	RRS
3095	7081	0.0	testing_y2h_v1	test_space_y2h_v1
3095	7081	0.0	testing_y2h_v2	test_space_y2h_v2
3133	56492	0.0	testing_y2h_v1	test_space_y2h_v1
3173	3399	0.0	testing_y2h_v3	Lit_BM_13
3173	3399	0.0	testing_y2h_v1	Lit_BM_13
3173	3399	0.0	testing_y2h_v2	Lit_BM_13
3173	3788	1.0	testing_y2h_v3	Lit_BM_13
3173	3788	1.0	testing_y2h_v1	Lit_BM_13
3173	3788	1.0	testing_y2h_v2	Lit_BM_13
3266	53064	0.0	testing_y2h_v3	RRS
3266	53064	0.0	testing_y2h_v1	RRS
3266	53064	0.0	testing_y2h_v2	RRS
3299	7376	0.0	testing_y2h_v3	test_space_y2h_v3
3299	52707	0.0	testing_y2h_v3	test_space_y2h_v3
3353	6559	0.0	testing_y2h_v3	RRS
3353	6559	0.0	testing_y2h_v1	RRS
3511	3598	0.0	testing_y2h_v2	test_space_y2h_v2
3511	7081	0.0	testing_y2h_v2	test_space_y2h_v2
3587	4085	0.0	testing_y2h_v3	Lit_BM_13
3587	4085	0.0	testing_y2h_v1	Lit_BM_13
3587	4085	0.0	testing_y2h_v2	Lit_BM_13
3587	8578	0.0	testing_y2h_v3	Lit_BM_13
3587	8578	0.0	testing_y2h_v1	Lit_BM_13
3587	8578	0.0	testing_y2h_v2	Lit_BM_13
3600	14862	0.0	testing_y2h_v1	test_space_y2h_v1
3619	4040	0.0	testing_y2h_v3	test_space_y2h_v3
3619	5370	0.0	testing_y2h_v1	test_space_y2h_v1
3619	5370	0.0	testing_y2h_v2	test_space_y2h_v2
3619	6068		testing_y2h_v3	test_space_y2h_v3
3619	11089	0.0	testing_y2h_v3	test_space_y2h_v3
3619	11362		testing_y2h_v3	test_space_y2h_v3
3619	11816	0.0	testing_y2h_v2	test_space_y2h_v2
3619	14524	0.0	testing_y2h_v3	test_space_y2h_v3
3619	100010310	0.0	testing_y2h_v3	test_space_y2h_v3
3620	8486	0.0	testing_y2h_v3	RRS
3620	8486		testing_y2h_v1	RRS
3620	8486		testing_y2h_v2	RRS
3771	54095	0.0	testing_y2h_v3	RRS
3771	54095	0.0	testing_y2h_v1	RRS
3771	54095	0.0	testing_y2h_v2	RRS
3772	7537	0.0	testing_y2h_v3	test_space_y2h_v3
3772	13067	0.0	testing_y2h_v2	test_space_y2h_v2
3798	7528		testing_y2h_v2	test_space_y2h_v2
3805	52803	0.0	testing_y2h_v3	test_space_y2h_v3
3859	70621	0.0	testing_y2h_v3	RRS
3859	70621	0.0	testing_y2h_v1	RRS
3859	70621	0.0	testing_y2h_v2	RRS
3870	100015074		testing_y2h_v3	RRS
3870	100015074	0.0	testing_y2h_v1	RRS
3870	100015074	0.0	testing_y2h_v2	RRS
3879	56932	0.0	testing_y2h_v3	Lit_BM_13
3879	56932	0.0	testing_y2h_v1	Lit_BM_13
3879	56932	0.0	testing_y2h_v2	Lit_BM_13
3907	52955	0.0	testing_y2h_v3	Lit_BM_13
3907	52955	0.0	testing_y2h_v1	Lit_BM_13
3907	52955	0.0	testing_y2h_v2	Lit_BM_13
3962	53120	0.0	testing_y2h_v3	Lit_BM_13
3962	53120	0.0	testing_y2h_v1	Lit_BM_13
3962	53120	0.0	testing_y2h_v2	Lit_BM_13
3975	7959	0.0	testing_y2h_v3	Lit_BM_13
3975	7959	0.0	testing_y2h_v1	Lit_BM_13
3975	7959	0.0	testing_y2h_v2	Lit_BM_13
3975	53120	0.0	testing_y2h_v3	Lit_BM_13
3975	53120	0.0	testing_y2h_v1	Lit_BM_13
3975	53120	0.0	testing_y2h_v2	Lit_BM_13
3975	54069	0.0	testing_y2h_v3	RRS
3975	54069	0.0	testing_y2h_v1	RRS
3990	10543	0.0	testing_y2h_v3	RRS
3990	10543	0.0	testing_y2h_v1	RRS
3990	10543	0.0	testing_y2h_v2	RRS
4042	5285	0.0	testing_y2h_v1	test_space_y2h_v1
4042	13662	0.0	testing_y2h_v1	test_space_y2h_v1
4089	6717	0.0	testing_y2h_v3	test_space_y2h_v3
4089	6932	0.0	testing_y2h_v2	test_space_y2h_v2
4089	6932	0.0	testing_y2h_v3	test_space_y2h_v3
4118	53120	0.0	testing_y2h_v3	Lit_BM_13
4118	53120	0.0	testing_y2h_v1	Lit_BM_13
4118	53120	0.0	testing_y2h_v2	Lit_BM_13
4142	9637	0.0	testing_y2h_v3	Lit_BM_13
4142	9637		testing_y2h_v1	Lit_BM_13
4142	9637		testing_y2h_v2	Lit_BM_13
4224	53524	1.0	testing_y2h_v2	test_space_y2h_v2
4259	5868	0.0	testing_y2h_v2	test_space_y2h_v2
4259	7682	0.0	testing_y2h_v1	test_space_y2h_v1
