ensembl_gene_id_a	ensembl_gene_id_b	assay_id	screens
ENSG00000127191	ENSG00000165630	1	4,5,6,8,10,11
ENSG00000083535	ENSG00000087338	1	5
ENSG00000114416	ENSG00000134207	1	2,12
ENSG00000140259	ENSG00000170260	1	12
ENSG00000108010	ENSG00000162755	1	2,8,10
ENSG00000167110	ENSG00000167491	1	4
ENSG00000087338	ENSG00000188266	1	7,8
ENSG00000127191	ENSG00000164287	1	3,4
ENSG00000138376	ENSG00000167110	1	1,2,4,6,7,8,9,10,11,12
ENSG00000124214	ENSG00000186416	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000145332	ENSG00000204209	1	7,10
ENSG00000117266	ENSG00000197256	1	1,7,12
ENSG00000006659	ENSG00000161405	1	2,3,4,6,7,8,9,11
ENSG00000163001	ENSG00000183283	1	10
ENSG00000151923	ENSG00000183283	1	10
ENSG00000100055	ENSG00000147144	1	3,4
ENSG00000145945	ENSG00000161405	1	9
ENSG00000172468	ENSG00000183283	1	10
ENSG00000139437	ENSG00000140743	1	1,2,3,4,6,11
ENSG00000183283	ENSG00000186970	1	10
ENSG00000168000	ENSG00000197191	1	2,7,8
ENSG00000127191	ENSG00000136451	1	1,3,5,9,10,12
ENSG00000083535	ENSG00000127191	1	1,2,3,4,6,8,9,10,11,12
ENSG00000062822	ENSG00000197191	1	5,6,9,12
ENSG00000115380	ENSG00000187180	1	1,2,3,4,7,12
ENSG00000127191	ENSG00000173991	1	1,12
ENSG00000167110	ENSG00000182156	1	2,8
ENSG00000070831	ENSG00000124171	1	5,12
ENSG00000136451	ENSG00000167110	1	1,2,4,5,6,7,8,9,10,11,12
ENSG00000127314	ENSG00000160271	1	12
ENSG00000163682	ENSG00000183230	1	6
ENSG00000102119	ENSG00000146109	1	5,7,8,12
ENSG00000099940	ENSG00000125814	1	6
ENSG00000097021	ENSG00000129187	1	12
ENSG00000114416	ENSG00000163161	1	6,7
ENSG00000100105	ENSG00000147144	1	11
ENSG00000083535	ENSG00000167110	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000160973	ENSG00000183283	1	1,3,5,7,8,11
ENSG00000161405	ENSG00000173991	1	8
ENSG00000115380	ENSG00000115507	1	6,7,8
ENSG00000112130	ENSG00000197798	1	4,5,8,9
ENSG00000117475	ENSG00000137310	1	4,5,7,8,9,10,11,12
ENSG00000161405	ENSG00000187796	1	1,3,4,7,8,9,10,12
ENSG00000140743	ENSG00000173480	1	1,4,6
ENSG00000180667	ENSG00000183283	1	1,2,3,4,6,7,8,9,10,11,12
ENSG00000146592	ENSG00000197191	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000101189	ENSG00000185787	1	5,10,12
ENSG00000184292	ENSG00000187180	1	6,7,12
ENSG00000099940	ENSG00000168899	1	4,6,10
ENSG00000100201	ENSG00000169045	1	2,6,7,8,12
ENSG00000115255	ENSG00000147164	1	10
ENSG00000167110	ENSG00000167768	1	7,11,12
ENSG00000112578	ENSG00000150477	1	5
ENSG00000104897	ENSG00000136451	1	7
ENSG00000167565	ENSG00000204209	1	10
ENSG00000112130	ENSG00000138621	1	1
ENSG00000115507	ENSG00000241598	1	1,3,5,6,10,11,12
ENSG00000138587	ENSG00000197256	1	7
ENSG00000090447	ENSG00000167110	1	1,2,3,4,6,7,8,9,11,12
ENSG00000152430	ENSG00000184492	1	2,3,6,9,12
ENSG00000150477	ENSG00000187796	1	1,2,3,4,7,12
ENSG00000134480	ENSG00000167110	1	5,7,8,9,10,11,12
ENSG00000097021	ENSG00000162191	1	10,11
ENSG00000112578	ENSG00000170903	1	2
ENSG00000100557	ENSG00000178104	1	4,11,12
ENSG00000139531	ENSG00000213024	1	1,4,5,6,7,8,9,10,11,12
ENSG00000112578	ENSG00000127191	1	1,2,3,7,8,9,10,12
ENSG00000106123	ENSG00000161405	1	8
ENSG00000137098	ENSG00000152977	1	7,12
ENSG00000094916	ENSG00000173991	1	8
ENSG00000130119	ENSG00000146038	1	7
ENSG00000127191	ENSG00000169989	1	10
ENSG00000129675	ENSG00000161405	1	11
ENSG00000127191	ENSG00000204536	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000197256	ENSG00000204356	1	6
ENSG00000117153	ENSG00000266714	1	10
ENSG00000100055	ENSG00000146038	1	5
ENSG00000087338	ENSG00000145945	1	3,5,8,11
ENSG00000156050	ENSG00000167110	1	4,5,6,7,8,9,10,11,12
ENSG00000115274	ENSG00000140743	1	1,3,8
ENSG00000138621	ENSG00000159495	1	6,9
ENSG00000070950	ENSG00000167110	1	2,3,6
ENSG00000139437	ENSG00000161405	1	1,4,7,12
ENSG00000167110	ENSG00000196422	1	7,11
ENSG00000165802	ENSG00000167110	1	2,3,6,7,11,12
ENSG00000100105	ENSG00000127191	1	1,2,3,8,9,10,11,12
ENSG00000097021	ENSG00000183283	1	2,10,11
ENSG00000117475	ENSG00000136925	1	1,4,6,11,12
ENSG00000130762	ENSG00000152430	1	7
ENSG00000136925	ENSG00000161405	1	4,10
ENSG00000143514	ENSG00000151929	1	1,2,4,6,7,8,9,10,11,12
ENSG00000067840	ENSG00000140743	1	1,7
ENSG00000108010	ENSG00000178096	1	1,2,5,6,8,10,11,12
ENSG00000187796	ENSG00000197191	1	4,12
ENSG00000113790	ENSG00000152430	1	3,7
ENSG00000138587	ENSG00000140743	1	4,6,7,8,9,10,12
ENSG00000100284	ENSG00000166170	1	5,9
ENSG00000173065	ENSG00000197191	1	7,10
ENSG00000160908	ENSG00000171222	1	1
ENSG00000167110	ENSG00000169981	1	1,2,3,4,5,6,7,8,9,10,11
ENSG00000113790	ENSG00000164008	1	4
ENSG00000087338	ENSG00000124171	1	4,11
ENSG00000111077	ENSG00000173480	1	2,4,7,8
ENSG00000106123	ENSG00000140262	1	1
ENSG00000127191	ENSG00000173480	1	1,2,4,9,10
ENSG00000164287	ENSG00000197256	1	3
ENSG00000123143	ENSG00000140743	1	6,7,10
ENSG00000172155	ENSG00000187180	1	1,2,4,5,6,7,8,9,10,11,12
ENSG00000140743	ENSG00000156050	1	1,3,4,5,6,7,8,9,10,11
ENSG00000087338	ENSG00000204209	1	10,11
ENSG00000006659	ENSG00000107960	1	2
ENSG00000146592	ENSG00000187180	1	1,2,3,4,5,7,8,9,10,11,12
ENSG00000101405	ENSG00000146038	1	7
ENSG00000173480	ENSG00000197256	1	9,11
ENSG00000127191	ENSG00000132801	1	2,6
ENSG00000176723	ENSG00000197191	1	5,10,12
ENSG00000151929	ENSG00000197191	1	6,10,11
ENSG00000105397	ENSG00000197191	1	7,8,9,10,11
ENSG00000126945	ENSG00000135097	1	1,2,3,4,6,7,9,10,11,12
ENSG00000111077	ENSG00000152475	1	1,2,3,4,5,6,7,8,9,10,11,12
