standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	RRS	GPCA	5348	300	12.873473088804769
Hvs01	RRS	GPCA	3822	52937	10.497404589795995
Hvs01	Hs01	GPCA	4673	3878	15.627142692052484
Hvs01	Lit-BM	GPCA	100016000	5890	17.009745021874316
Hvs01	RRS	GPCA	9603	11692	13.923858929608352
Hvs01	RRS	GPCA	399	14023	13.864899636795464
Hvs01	Hs01	GPCA	4516	100002501	13.963138958788365
Hvs01	Lit-BM	GPCA	10935	10935	22.207419948784917
Hvs01	Hs01	GPCA	55237	100062463	14.448663292577903
Hvs01	RRS	GPCA	55729	8055	13.587675949235887
Hvs01	RRS	GPCA	2352	4950	17.711802844665463
Hvs01	Hs01	GPCA	8105	56827	19.782558096394116
Hvs01	RRS	GPCA	454	71163	13.623594320340523
Hvs01	RRS	GPCA	100066393	1062	14.771111992864029
Hvs01	Lit-BM	GPCA	72137	503	13.191168835309659
Hvs01	Lit-BM	GPCA	56257	52690	15.091045974786004
Hvs01	Hs01	GPCA	55475	9926	14.884865500803894
Hvs01	Lit-BM	GPCA	11505	11866	12.93179530521827
Hvs01	Lit-BM	GPCA	4015	113	18.418810999878875
Hvs01	RRS	GPCA	55879	10078	10.744328045542694
Hvs01	RRS	GPCA	4773	52741	15.351231663913257
Hvs01	Lit-BM	GPCA	8617	55086	16.847567490366423
Hvs01	RRS	GPCA	1257	14868	14.651891877302436
Hvs01	Hs01	GPCA	56582	71178	12.032748827118233
Hvs01	Hs01	GPCA	665	4670	22.701390822556686
Hvs01	RRS	GPCA	71995	3102	14.817638156084598
Hvs01	RRS	GPCA	14890	8878	13.96067776267306
Hvs01	Hs01	GPCA	1905	14983	10.895886690429371
Hvs01	Hs01	GPCA	3672	208	15.424974494662834
Hvs01	Lit-BM	GPCA	13813	54130	18.538306520656214
Hvs01	RRS	GPCA	100000034	718	12.782334501526485
Hvs01	Hs01	GPCA	2706	6137	14.056125114777936
Hvs01	Hs01	GPCA	70804	4862	18.62256041465428
Hvs01	RRS	GPCA	13928	11968	12.13535525805905
Hvs01	Hs01	GPCA	70436	71592	17.22687110814052
Hvs01	RRS	GPCA	5649	7478	13.63340800709991
Hvs01	RRS	GPCA	9321	53448	15.848458256395823
Hvs01	RRS	GPCA	4967	14514	16.22099259044901
Hvs01	Lit-BM	GPCA	52920	14374	11.6961207759329
Hvs01	Lit-BM	GPCA	3724	2773	13.459840332593842
Hvs01	RRS	GPCA	13286	9385	16.494213313627537
Hvs01	RRS	GPCA	9222	1462	12.963863633107628
Hvs01	Lit-BM	GPCA	3822	4124	12.231283586781304
Hvs01	RRS	GPCA	12395	53002	17.109807388104947
Hvs01	RRS	GPCA	71475	100000237	14.449695166096086
Hvs01	RRS	GPCA	10841	70554	10.21186265248739
Hvs01	Hs01	GPCA	100063964	6775	18.261880738826413
Hvs01	Hs01	GPCA	100016009	12458	14.26210686947562
Hvs01	RRS	GPCA	359	11762	15.5050962030252
Hvs01	RRS	GPCA	55311	3299	13.669566135148017
Hvs01	Hs01	GPCA	3063	956	13.690801096223908
Hvs01	Hs01	GPCA	14291	4535	13.306186719851624
Hvs01	RRS	GPCA	14831	100068253	12.05656862818005
Hvs01	Hs01	GPCA	55174	2897	11.52594830970866
Hvs01	RRS	GPCA	70996	14899	12.560959126334808
Hvs01	RRS	GPCA	12730	70903	11.309282369091145
Hvs01	Hs01	GPCA	100009072	100064010	13.600688309744486
Hvs01	Hs01	GPCA	9272	5175	13.9890024319329
Hvs01	RRS	GPCA	54283	9713	10.779120660965084
Hvs01	Hs01	GPCA	11155	56513	15.033405561939091
Hvs01	Lit-BM	GPCA	12900	12900	16.58440463400057
Hvs01	Hs01	GPCA	3392	1074	13.476288383778247
Hvs01	Hs01	GPCA	3769	65	13.63782754019196
Hvs01	RRS	GPCA	8269	9354	9.874166865449094
Hvs01	RRS	GPCA	71544	3036	10.64692271561076
Hvs01	RRS	GPCA	1735	10925	13.369316559892589
Hvs01	RRS	GPCA	11385	71114	10.727990418781989
Hvs01	Lit-BM	GPCA	9747	3529	12.741912561933269
Hvs01	Lit-BM	GPCA	113	2663	13.621290366825722
Hvs01	Hs01	GPCA	13592	70264	16.09303460593093
Hvs01	Hs01	GPCA	1768	100069089	17.11186161492516
Hvs01	RRS	GPCA	4779	3564	13.575949624903974
Hvs01	Hs01	GPCA	10057	100014855	15.001006767450345
Hvs01	Lit-BM	GPCA	6129	8795	10.959855032182876
Hvs01	RRS	GPCA	4119	53633	16.110122191155774
Hvs01	Lit-BM	GPCA	4126	5597	12.097217250309576
Hvs01	RRS	GPCA	4775	5066	12.747363716029652
Hvs01	Hs01	GPCA	9846	6195	12.3031811711895
Hvs01	RRS	GPCA	1272	9915	11.46664397908923
Hvs01	RRS	GPCA	70576	13705	10.332209752978216
Hvs01	Hs01	GPCA	56614	100064180	16.032827366885428
Hvs01	Hs01	GPCA	7437	14264	13.286010069818802
Hvs01	RRS	GPCA	56671	71232	13.365753068007868
Hvs01	RRS	GPCA	10373	100064165	14.535394016497865
Hvs01	Hs01	GPCA	53657	56508	17.765397033137976
Hvs01	Lit-BM	GPCA	5484	3722	14.117431153736183
Hvs01	RRS	GPCA	100068177	70672	11.85339612244989
Hvs01	Lit-BM	GPCA	8407	5651	12.10071046546763
Hvs01	RRS	GPCA	14319	7666	11.849151505856547
Hvs01	RRS	GPCA	2183	6880	12.20482660000198
Hvs01	Hs01	GPCA	3798	55882	14.494910741428349
Hvs01	Hs01	GPCA	100000407	4430	13.40570550146304
Hvs01	RRS	GPCA	10111	2796	14.411439908675105
Hvs01	Lit-BM	GPCA	71704	71587	15.625571840221737
Hvs01	RRS	GPCA	1520	100069106	14.251817939699283
Hvs01	Lit-BM	GPCA	52987	3267	13.491017654535822
Hvs01	Hs01	GPCA	1578	4664	17.973244806578588
Hvs01	Hs01	GPCA	4516	100064143	14.723941905225963
Hvs01	Lit-BM	GPCA	7980	7980	13.482981050506357
Hvs01	Hs01	GPCA	5746	3907	11.162831149206582
Hvs01	RRS	GPCA	14912	100062328	15.373409697256115
Hvs01	Lit-BM	GPCA	8112	9581	12.653966362476623
Hvs01	RRS	GPCA	4616	4676	14.140211359660377
Hvs01	RRS	GPCA	13017	11207	11.864340383976998
Hvs01	Hs01	GPCA	2966	56141	12.484589080211677
Hvs01	RRS	GPCA	72102	55915	11.251142035655704
Hvs01	Hs01	GPCA	3433	3700	19.581397178360053
Hvs01	Lit-BM	GPCA	71385	5246	12.812565774288288
Hvs01	RRS	GPCA	4026	71037	12.528628224330788
Hvs01	RRS	GPCA	13054	8245	15.84370064987997
Hvs01	Hs01	GPCA	3907	1769	13.631261384424748
Hvs01	RRS	GPCA	616	56829	13.614230323492233
Hvs01	RRS	GPCA	11636	40080561	13.862671634360723
Hvs01	Lit-BM	GPCA	4126	4126	19.735056467173656
