ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000138347	ENSG00000148677	2	2	3
ENSG00000100151	ENSG00000196277	2	3	5
ENSG00000187741	ENSG00000187741	6	3	6
ENSG00000121022	ENSG00000141646	5	3	6
ENSG00000141510	ENSG00000204209	8	6	14
ENSG00000076604	ENSG00000158517	2	2	2
ENSG00000117748	ENSG00000132383	17	13	22
ENSG00000084676	ENSG00000121022	1	2	2
ENSG00000100387	ENSG00000111530	5	4	5
ENSG00000157212	ENSG00000188486	1	2	2
ENSG00000130826	ENSG00000204209	1	2	2
ENSG00000076604	ENSG00000165916	2	2	2
ENSG00000132383	ENSG00000136936	7	5	8
ENSG00000112033	ENSG00000186350	4	3	4
ENSG00000100985	ENSG00000102265	2	3	3
ENSG00000102265	ENSG00000196611	2	4	4
ENSG00000010017	ENSG00000137098	1	2	2
ENSG00000143545	ENSG00000156973	1	2	2
ENSG00000077150	ENSG00000146232	2	3	3
ENSG00000132383	ENSG00000141510	4	3	4
ENSG00000113580	ENSG00000204209	2	2	4
ENSG00000117122	ENSG00000166147	3	2	3
ENSG00000090020	ENSG00000160014	2	2	2
ENSG00000090020	ENSG00000143933	2	2	2
ENSG00000090020	ENSG00000198668	2	2	2
ENSG00000167996	ENSG00000204209	2	3	4
ENSG00000124535	ENSG00000165392	1	2	2
ENSG00000076248	ENSG00000117748	4	6	8
ENSG00000132646	ENSG00000175482	2	2	3
ENSG00000140575	ENSG00000161270	1	2	2
ENSG00000101439	ENSG00000101439	2	7	8
ENSG00000185379	ENSG00000197299	1	3	3
ENSG00000036257	ENSG00000146021	9	3	9
ENSG00000026103	ENSG00000249915	1	3	3
ENSG00000110107	ENSG00000132680	1	2	2
ENSG00000102145	ENSG00000162367	2	2	2
ENSG00000182718	ENSG00000214274	1	2	2
ENSG00000121774	ENSG00000254087	4	5	5
ENSG00000122565	ENSG00000143815	1	3	3
ENSG00000071564	ENSG00000162367	6	5	8
ENSG00000162367	ENSG00000196628	4	3	4
ENSG00000162367	ENSG00000185591	1	2	2
ENSG00000094916	ENSG00000143815	1	3	3
ENSG00000126456	ENSG00000183735	13	6	14
ENSG00000047644	ENSG00000113645	1	2	2
ENSG00000113578	ENSG00000172500	1	2	2
ENSG00000101161	ENSG00000169217	4	5	6
ENSG00000026103	ENSG00000204209	6	5	7
ENSG00000128591	ENSG00000138100	1	2	2
