ad_orf_id	db_orf_id	final_score	source
6935	100002314	0	Lit-BM-HT-17
3192	1050	0	Lit-BM-HT-17
3154	2359	0	Lit-BM-HT-17
56354	55636	1	Lit-BM-HT-17
56227	13748	0	Lit-BM-HT-17
9878	10123	0	Lit-BM-HT-17
55855	14543	0	Lit-BM-HT-17
6120	8905	0	Lit-BM-HT-17
55203	71242	0	Lit-BM-HT-17
4448	14543	0	Lit-BM-HT-17
8010	7583	0	Lit-BM-HT-17
100070227	2483	0	Lit-BM-HT-17
7774	3878	0	Lit-BM-HT-17
11636	71264	0	Lit-BM-HT-17
3635	2486	NA	Lit-BM-HT-17
3273	2917	0	Lit-BM-HT-17
14543	3741	1	Lit-BM-HT-17
14143	10726	0	Lit-BM-HT-17
4960	4677	0	Lit-BM-HT-17
6129	14543	0	Lit-BM-HT-17
2486	3635	0	Lit-BM-HT-17
12853	14543	0	Lit-BM-HT-17
12017	3380	AA	Lit-BM-HT-17
5107	3585	0	Lit-BM-HT-17
3888	55203	0	Lit-BM-HT-17
1499	10853	NA	Lit-BM-HT-17
71264	53955	0	Lit-BM-HT-17
11550	100000459	0	Lit-BM-HT-17
11333	4265	0	Lit-BM-HT-17
70355	8208	0	Lit-BM-HT-17
7063	71264	0	Lit-BM-HT-17
100062227	2863	0	Lit-BM-HT-17
6970	100009829	0	Lit-BM-HT-17
14543	4983	0	Lit-BM-HT-17
100011238	14671	0	Lit-BM-HT-17
100008859	10961	0	Lit-BM-HT-17
55203	3156	0	Lit-BM-HT-17
3836	14543	0	Lit-BM-HT-17
915	2094	0	Lit-BM-HT-17
3456	5158	0	Lit-BM-HT-17
100062227	100009791	0	Lit-BM-HT-17
14543	9996	0	Lit-BM-HT-17
3024	71264	NA	Lit-BM-HT-17
2961	1551	0	Lit-BM-HT-17
100010602	4262	0	Lit-BM-HT-17
6157	6753	0	Lit-BM-HT-17
2393	52628	NA	Lit-BM-HT-17
4421	53090	0	Lit-BM-HT-17
5135	14543	0	Lit-BM-HT-17
3907	100070339	0	Lit-BM-HT-17
10726	10726	0	Lit-BM-HT-17
14543	55855	0	Lit-BM-HT-17
3243	14543	0	Lit-BM-HT-17
3154	71146	0	Lit-BM-HT-17
13118	14956	0	Lit-BM-HT-17
55203	12154	0	Lit-BM-HT-17
12792	11305	1	Lit-BM-HT-17
1895	4045	0	Lit-BM-HT-17
8010	6559	0	Lit-BM-HT-17
71722	7799	0	Lit-BM-HT-17
3741	14543	0	Lit-BM-HT-17
891	55203	0	Lit-BM-HT-17
732	3706	0	Lit-BM-HT-17
14543	3143	0	Lit-BM-HT-17
56119	55733	0	Lit-BM-HT-17
4828	3192	0	Lit-BM-HT-17
55699	4551	0	Lit-BM-HT-17
2561	10820	1	Lit-BM-HT-17
4452	5200	1	Lit-BM-HT-17
4262	2214	0	Lit-BM-HT-17
8010	10155	0	Lit-BM-HT-17
3874	55203	0	Lit-BM-HT-17
7776	70202	NA	Lit-BM-HT-17
71385	71461	0	Lit-BM-HT-17
71264	7063	0	Lit-BM-HT-17
909	442	0	Lit-BM-HT-17
7076	100069279	0	Lit-BM-HT-17
14543	4448	0	Lit-BM-HT-17
9751	70262	0	Lit-BM-HT-17
100011233	55203	0	Lit-BM-HT-17
2709	12870	0	Lit-BM-HT-17
12865	4453	0	Lit-BM-HT-17
55203	891	0	Lit-BM-HT-17
2245	14385	0	Lit-BM-HT-17
14543	5988	0	Lit-BM-HT-17
3156	55203	0	Lit-BM-HT-17
4595	4384	0	Lit-BM-HT-17
12865	100015498	0	Lit-BM-HT-17
55203	3874	NA	Lit-BM-HT-17
4001	5876	0	Lit-BM-HT-17
71456	14543	0	Lit-BM-HT-17
11590	1832	0	Lit-BM-HT-17
915	52875	0	Lit-BM-HT-17
14543	12853	0	Lit-BM-HT-17
14385	2245	0	Lit-BM-HT-17
13451	6838	0	Lit-BM-HT-17
6157	100063943	1	Lit-BM-HT-17
55809	1063	0	Lit-BM-HT-17
4689	5957	0	Lit-BM-HT-17
100009513	100011238	0	Lit-BM-HT-17
55203	8022	0	Lit-BM-HT-17
8904	14543	0	Lit-BM-HT-17
11800	55726	0	Lit-BM-HT-17
3706	732	0	Lit-BM-HT-17
14543	100010379	0	Lit-BM-HT-17
6753	6157	0	Lit-BM-HT-17
55203	56356	NA	Lit-BM-HT-17
5674	70910	NA	Lit-BM-HT-17
11805	55888	0	Lit-BM-HT-17
7774	915	0	Lit-BM-HT-17
3633	55203	0	Lit-BM-HT-17
10794	3715	0	Lit-BM-HT-17
14543	3482	0	Lit-BM-HT-17
