orf_id_a	orf_id_b	result	source
7439	71538	1.0	Lit-BS-LT-17
7442	11806	0.0	Lit-BM-LT-17
7450	11305	0.0	Lit-NB-17
7515	11214	0.0	Lit-BM-LT-17
7582	9895	0.0	Lit-BS-LT-17
7582	71257	0.0	Lit-BM-LT-17
7587	52905	0.0	Lit-BM-13
7587	52987	0.0	Lit-BM-13
7587	100011516	0.0	Lit-BS-HT-17
7625	8626	0.0	Lit-BS-LT-17
7630	10705	0.0	Lit-BS-LT-17
7678	9233	0.0	Lit-BM-LT-17
7682	10163	0.0	Lit-BS-LT-17
7727	12865	0.0	Lit-BM-HT-17
7727	12900	0.0	Lit-BS-HT-17
7727	56541	0.0	Lit-BM-HT-17
7742	13451		Lit-BM-HT-17
7776	14830	0.0	Lit-BS-HT-17
7792	7792	1.0	Lit-BS-LT-17
7847	100068202	0.0	Lit-NB-17
7925	8102	0.0	Lit-NB-17
7959	70300	0.0	Lit-BM-13
7980	7980	0.0	Lit-BM-13
8000	14543	0.0	Lit-BM-HT-17
8010	10155	0.0	Lit-BM-HT-17
8010	100080764	0.0	Lit-BM-LT-17
8117	12330	0.0	Lit-NB-17
8122	8536	0.0	Lit-BM-LT-17
8141	100015986	0.0	Lit-BS-HT-17
8186	56109	0.0	Lit-BS-LT-17
8274	11563	0.0	Lit-BM-13
8309	55853	0.0	Lit-BS-LT-17
8409	100000049	0.0	Lit-BS-HT-17
8464	13781	0.0	Lit-BS-LT-17
8626	10726	0.0	Lit-BM-LT-17
8795	100011133	0.0	Lit-BM-LT-17
8904	14543	0.0	Lit-BM-HT-17
8945	56858	0.0	Lit-NB-17
9104	10069	0.0	Lit-NB-17
9159	56690	0.0	Lit-BS-LT-17
9159	100009783	0.0	Lit-BM-LT-17
9215	12304	0.0	Lit-BM-13
9293	9293	0.0	Lit-BM-LT-17
9326	54589	0.0	Lit-NB-17
9336	9336	0.0	Lit-BS-LT-17
9384	56354	0.0	Lit-BS-LT-17
9587	12337	0.0	Lit-BS-LT-17
9627	55205	0.0	Lit-BS-LT-17
9635	9635	0.0	Lit-BS-LT-17
9734	10839	0.0	Lit-BS-HT-17
9739	13125	0.0	Lit-NB-17
9763	52848	0.0	Lit-NB-17
9764	10616	0.0	Lit-BS-HT-17
9820	14368	0.0	Lit-NB-17
9831	13842	0.0	Lit-NB-17
9833	55205		Lit-BS-LT-17
9844	56664	0.0	Lit-BM-LT-17
9868	9868	0.0	Lit-BM-13
9878	10123		Lit-BM-HT-17
9924	12346	0.0	Lit-BM-13
9926	11305	0.0	Lit-NB-17
9969	10667	0.0	Lit-NB-17
9996	14543	0.0	Lit-BM-HT-17
9998	56382	1.0	Lit-BM-LT-17
10053	13665	0.0	Lit-BM-LT-17
10078	11729		Lit-NB-17
10081	11996	0.0	Lit-BS-HT-17
10117	100009829	0.0	Lit-BM-HT-17
10122	71078	0.0	Lit-BS-LT-17
10155	100009982	0.0	Lit-NB-17
10160	11727	0.0	Lit-BM-LT-17
10163	56248	0.0	Lit-BM-13
10224	13622	0.0	Lit-BM-LT-17
10250	71289		Lit-BS-HT-17
10280	56919	0.0	Lit-BM-13
10312	72128		Lit-NB-17
10352	12559	0.0	Lit-BS-HT-17
10373	14554	0.0	Lit-BM-LT-17
10394	10394	0.0	Lit-BS-LT-17
10493	71003	1.0	Lit-BM-13
10525	56684	0.0	Lit-BM-LT-17
10558	11006	0.0	Lit-BS-LT-17
10618	70079	0.0	Lit-BS-HT-17
10656	12974		Lit-NB-17
10726	10726	1.0	Lit-BM-HT-17
10737	10737	0.0	Lit-BM-HT-17
10737	71467	0.0	Lit-NB-17
10799	55174		Lit-BM-LT-17
10799	55199		Lit-BM-13
10820	10820	1.0	Lit-BM-LT-17
10840	100009783	0.0	Lit-BS-HT-17
10891	71941	0.0	Lit-BS-LT-17
10935	10935	0.0	Lit-BM-13
11050	100080502	0.0	Lit-BS-HT-17
11075	100005032	0.0	Lit-BM-LT-17
11103	71021	1.0	Lit-BM-13
11174	71420	0.0	Lit-NB-17
11208	11208	0.0	Lit-BM-13
11256	100069198	0.0	Lit-NB-17
11285	14754	0.0	Lit-BM-LT-17
11285	14754	0.0	Lit-BM-13
11305	12792	0.0	Lit-BM-HT-17
11376	100067288	0.0	Lit-BM-13
11422	56361	0.0	Lit-BM-LT-17
11490	100062330	0.0	Lit-BM-LT-17
11505	11866	0.0	Lit-BM-13
11517	55636	0.0	Lit-NB-17
11550	100005433	0.0	Lit-BS-LT-17
11574	11996	0.0	Lit-BS-HT-17
11590	70513	0.0	Lit-NB-17
11619	100000475	0.0	Lit-BS-LT-17
11636	71264	0.0	Lit-BM-HT-17
11735	55203	0.0	Lit-BM-HT-17
11800	55726	0.0	Lit-BM-HT-17
11822	12438	0.0	Lit-BM-LT-17
11935	12010	0.0	Lit-NB-17
11938	100009897	0.0	Lit-BS-HT-17
11939	12865	0.0	Lit-BM-LT-17
11939	55199	0.0	Lit-BM-LT-17
11972	11972	0.0	Lit-NB-17
12042	55203	0.0	Lit-BM-HT-17
12070	70204	0.0	Lit-BS-LT-17
12137	54364	0.0	Lit-BM-LT-17
12154	55203	0.0	Lit-BM-HT-17
12257	100008214	0.0	Lit-BM-13
12358	12358	0.0	Lit-BM-13
12425	72153	0.0	Lit-NB-17
12443	55203	0.0	Lit-BM-HT-17
12472	100067112	0.0	Lit-BM-HT-17
12544	12544	0.0	Lit-BM-LT-17
